x,y,z
-8.35042,-1.99184,8.23551
-8.92499,-1.53219,8.65686
-8.81008,-1.6088,9.88261
-8.92499,-1.68541,11.3382
-9.72939,-1.6471,12.5256
-10.0358,-1.22575,12.5256
-9.23143,-0.497961,12.2192
-9.07821,1.34066,10.9551
-7.43111,3.60064,10.2273
-4.51995,5.86062,10.304
-1.30236,8.73347,10.8402
-3.06437,8.77177,16.5859
-4.51995,7.54602,19.6503
-4.74978,8.35042,20.2632
-3.06437,10.3423,19.229
-1.91523,11.8745,17.3137
-1.83862,13.5599,16.6625
-0.881008,15.0537,18.3096
5.47757,17.85,21.872
7.20128,18.3096,22.0635
4.59656,17.4286,18.5778
3.79216,15.4751,15.5517
0.0383047,13.3683,11.568
-4.32843,12.066,9.34634
-4.44334,12.4107,8.42703
-3.21759,13.4449,9.19312
-1.11084,14.1727,9.69109
-0.612875,15.2453,10.687
2.60472,16.3561,10.687
4.78809,17.85,10.189
5.97553,18.8076,9.49956
6.62671,19.3822,9.53786
7.00976,18.6161,10.6104
7.3545,16.7008,12.8321
7.3545,15.8581,15.0537
7.31619,14.211,16.2795
7.23959,13.4449,17.1605
7.00976,14.1727,15.7432
6.32027,14.4409,13.3683
4.17521,14.5175,10.9168
4.02199,13.2151,8.35042
4.36673,11.6446,7.69924
5.28605,10.0358,9.23143
4.903,8.92499,11.5297
2.64302,8.1972,11.8361
0.459656,7.16298,10.7253
-0.459656,6.81823,8.92499
0.689484,6.81823,6.5501
1.34066,6.70332,5.17113
5.59248,7.23959,3.71555
12.5256,8.23551,2.37489
11.2616,6.97145,1.57049
7.69924,5.17113,1.22575
5.51587,4.48165,-0.842703
5.20944,4.903,-4.903
6.24366,6.16705,-9.806
6.05214,6.39688,-11.7212
4.44334,6.32027,-11.9894
0.995922,3.75386,-6.24366
0.0383047,0.383047,-1.34066
-5.20944,-2.4898,3.14098
-8.69516,-1.76202,4.13691
-9.806,-0.191523,2.79624
-11.2999,0.995922,2.41319
-11.7595,1.18745,5.40096
-10.9934,-0.191523,13.6365
-8.1589,-3.02607,22.4465
-7.04806,-4.903,25.9323
1.83862,-2.06845,21.4506
3.2942,1.26405,14.0578
1.26405,2.41319,8.00568
-1.30236,1.6088,4.71148
-1.41727,0.383047,5.47757
-1.34066,-1.87693,8.1972
-0.65118,-2.91116,9.46126
0.766094,-2.14506,8.65686
3.60064,-0.65118,5.43926
7.27789,-0.842703,2.71963
8.84838,-1.72371,-0.421352
8.58025,-4.0986,-2.52811
7.69924,-6.5501,-3.71555
6.35858,-3.86877,-3.14098
4.71148,-4.25182,-2.33659
5.09452,-3.75386,-0.0766094
5.55418,-3.86877,-0.114914
8.58025,-6.35858,-1.07253
7.89076,-9.34634,-0.191523
7.04806,-10.2657,0.881008
6.39688,-9.61448,1.53219
5.01791,-9.23143,0.383047
5.7457,-7.43111,-0.65118
6.35858,-7.3545,-2.41319
5.82231,-7.23959,-3.86877
5.36266,-7.12467,-1.91523
5.36266,-7.08637,-0.383047
4.25182,-8.50364,3.94538
2.14506,-7.50772,6.5118
3.48573,-5.78401,8.73347
4.903,-3.86877,9.11651
5.32435,-2.71963,9.34634
4.48165,-2.56641,10.4189
1.57049,-3.63894,12.4107
-0.57457,-3.67725,15.1687
-1.87693,-3.40912,16.6242
-0.612875,-2.29828,18.6544
0.0383047,-0.612875,19.229
1.6471,1.6088,18.6927
2.10676,2.87285,17.85
1.49388,2.87285,17.5052
1.11084,2.25998,18.233
0.0383047,0.727789,19.7652
-0.804398,0.153219,20.0717
-0.919312,1.30236,19.8801
-2.91116,3.71555,20.1866
-2.18337,6.85654,17.6968
-1.34066,7.46941,15.4368
-0.65118,9.11651,16.0114
-1.03423,7.66094,19.3056
-2.4515,7.96737,21.6038
-2.56641,9.11651,23.9787
-2.4515,8.42703,22.9445
-2.41319,9.69109,18.1181
-0.153219,10.7253,15.2453
0,10.1507,14.5175
